City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Tagusao,PH,9.1924,117.8141,80.13,83,99,4.27,overcast clouds
303,Lompoc,US,34.6391,-120.4579,64.54,100,100,0.0,mist
304,Camacha,PT,33.0833,-16.3333,71.02,64,40,12.66,scattered clouds
305,Sines,PT,37.9562,-8.8698,63.28,75,44,8.99,scattered clouds
306,Troina,IT,37.7854,14.5985,62.91,90,84,7.56,broken clouds
307,Plettenberg Bay,ZA,-34.0527,23.3716,61.45,85,99,11.59,overcast clouds
308,Los Llanos De Aridane,ES,28.6585,-17.9182,71.13,73,75,17.27,broken clouds
309,Haines Junction,CA,60.7522,-137.5108,43.27,92,89,3.2,overcast clouds
310,Goderich,CA,43.7501,-81.7165,58.91,59,0,6.8,clear sky
311,Akyab,MM,20.15,92.9,80.01,87,100,6.58,light rain
312,Bathsheba,BB,13.2167,-59.5167,86.61,79,40,13.8,scattered clouds
313,Ilo,PE,-17.6394,-71.3375,63.46,72,0,13.8,clear sky
314,Raudeberg,NO,61.9875,5.1352,56.86,45,98,7.23,overcast clouds
315,Dingle,PH,10.9995,122.6711,75.45,88,91,5.14,overcast clouds
316,Merauke,ID,-8.4667,140.3333,77.88,91,85,11.1,overcast clouds
317,Nikolskoye,RU,59.7035,30.7861,46.8,96,89,5.73,overcast clouds
318,Aklavik,CA,68.2191,-135.0107,31.51,93,84,7.2,broken clouds
319,Bengkulu,ID,-3.8004,102.2655,75.74,92,52,3.24,light rain
320,Rock Sound,BS,24.9,-76.2,80.69,79,100,12.66,heavy intensity rain
321,Souillac,MU,-20.5167,57.5167,69.91,77,13,11.01,light rain
322,Bujaru,BR,-1.515,-48.0447,85.15,62,60,4.34,broken clouds
323,Saint Anthony,US,45.0205,-93.218,72.28,43,0,11.5,clear sky
324,Acapulco,MX,16.8634,-99.8901,85.82,74,40,6.91,scattered clouds
325,Pozo Colorado,PY,-23.4923,-58.7972,71.19,62,99,2.3,overcast clouds
326,Rio De Jesus,PA,7.9844,-81.1631,81.48,81,95,9.69,overcast clouds
327,Waspan,NI,14.7419,-83.9717,89.02,48,91,8.77,overcast clouds
328,Zachary,US,30.6485,-91.1565,79.74,32,0,9.22,clear sky
329,Zhezkazgan,KZ,47.8043,67.7144,37.4,29,16,15.82,few clouds
330,Bowen,AU,-20.0167,148.2333,64.92,72,8,6.15,clear sky
331,Viedma,AR,-40.8135,-62.9967,77.9,25,80,15.52,broken clouds
332,Maumere,ID,-8.6199,122.2111,80.31,80,100,3.74,overcast clouds
333,Sorochinsk,RU,52.4338,53.1583,48.51,70,89,9.04,overcast clouds
334,Kielce,PL,50.8703,20.6275,51.03,1,100,0.18,overcast clouds
335,Esperance,AU,-33.8667,121.9,50.11,86,39,10.51,scattered clouds
336,Hearst,CA,49.6835,-83.6665,63.1,49,57,7.34,broken clouds
337,Biggar,GB,55.6167,-3.5167,53.38,93,71,14.41,broken clouds
338,Ocampo,MX,21.65,-101.5,66.61,26,5,9.01,clear sky
339,Reyes,BO,-14.3167,-67.3833,82.36,54,75,6.91,broken clouds
340,Zeya,RU,53.75,127.2667,30.42,78,6,3.31,clear sky
341,Waingapu,ID,-9.6567,120.2641,79.72,79,66,2.8,broken clouds
342,Amboise,FR,47.4125,0.9827,59.54,68,0,6.91,clear sky
343,Nouadhibou,MR,20.931,-17.0347,74.48,72,27,23.4,scattered clouds
344,Husavik,IS,66.0449,-17.3389,44.15,98,100,13.47,overcast clouds
345,Svetlogorsk,BY,52.6333,29.7333,57.38,77,100,2.95,overcast clouds
346,Moroni,KM,-11.7022,43.2551,74.73,78,53,4.05,broken clouds
